"text","narrator","source","grade"
"كان يُكثرُ أن يدعو بهذا الدُّعاءِ لا يكادُ يفارقُه يقولُ الَّلهمَّ اجعلني أخشاك كأنِّي أراك أبدًا.","أبو هريرة","السلسلة الصحيحة","[فيه] إبراهيم بن خثيم بن عراك لا يستشهد به لشدة ضعفه"
"إذا دُعيَ أحدُكمْ فليجبْ فإنْ كانَ مُفطرًا فليطعمْ وإنْ كانَ صائمًا فليصلِّ قالَ هشامٌ والصلاةُ الدعاءُ.","أبو هريرة","صحيح أبي داود","صحيح"
"أنَّ النَّبيَّ كانَ يدعو بِهَذا الدُّعاءِ : اللَّهمَّ أعنِّي ولا تُعِنْ عليَّ وامكُر لي ولا تمكُر عليَّ.","عبدالله بن عباس","تخريج كتاب السنة","إسناده صحيح"
"إنَّ الدُّعاءَ هو العِبادةُ، ثُمَّ قَرَأَ: {ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِي} [غافر: 60].","النعمان بن بشير","تخريج المسند لشعيب","إسناده صحيح"
"إذا دُعِيَ أحَدُكم، فلْيُجِبْ، فإنْ كان مُفطِرًا فلْيَطعَمْ، وإنْ كان صائمًا فلْيُصَلِّ.","أبو هريرة","تخريج مشكل الآثار","إسناده صحيح على شرط الشيخين."
"إذا دَعَوتُمُ اللهَ فاعزِموا في الدُّعاءِ ، ولا يَقولَنَّ أحَدُكُم: إن شِئتَ فأعطِني؛ فإنَّ اللهَ لا مُستَكرِهَ له.","أنس بن مالك","صحيح البخاري","[صحيح]"
"في قَولِه عزَّ وجلَّ: {ولا تَجهَرْ بِصَلاتِكَ وَلَا تُخافِتْ بِهَا} [الإسراء: 110] قالت: أُنزِلَ هذا في الدُّعاءِ.","عائشة أم المؤمنين","صحيح مسلم","[صحيح]"
"إذا دَعا أحَدُكُم فليَعزِمْ في الدُّعاءِ ، ولا يَقُلْ: اللهمَّ إن شِئتَ فأعطِني؛ فإنَّ اللهَ لا مُستَكرِهَ له.","أنس بن مالك","صحيح مسلم","[صحيح]"
"أنَّ النَّبيَّ صلَّى اللهُ عليه وسلَّم كان يدعو بهذا الدُّعاءِ : ( اللَّهمَّ إنِّي أسأَلُكَ الهُدَى والتُّقى والعفافَ والغِنى.","عبدالله بن مسعود","صحيح ابن حبان","أخرجه في صحيحه"
"لا يَرُدُّ القَدَرَ إلَّا الدُّعاءُ ، ولا يَزيدُ في العُمرِ إلَّا البِرُّ، وإنَّ الرَّجلَ ليُحرَمُ الرِّزقَ بالذَّنبِ يُصيبُهُ.","ثوبان","المستدرك على الصحيحين","صحيح الإسناد"
"كانَ النَّبيُّ صلَّى اللَّهُ عليهِ وسلَّمَ إذا رفَعَ يديهِ في الدُّعاءِ لم يحطَّهُما حتَّى يمسحَ بِهما وجهَهُ.","عمر بن الخطاب","الأحكام الشرعية الصغرى","[أشار في المقدمة أنه صحيح الإسناد]"
"إنَّ الرَّجلَ ليُحرَمُ الرِّزقَ بالذَّنبِ يُصيبُه ولا يرُدُّ القدرَ إلَّا الدُّعاءُ ولا يزيدُ في العمرِ إلَّا البِرُّ.","ثوبان مولى رسول الله صلى الله عليه وسلم","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"لا يرُدُّ القدرَ إلَّا الدُّعاءُ ولا يزيدُ في العمرِ إلَّا البِرُّ وإنَّ الرَّجلَ ليُحرَمَ الرِّزقَ بالذَّنبِ يُذنبُه.","ثوبان مولى رسول الله صلى الله عليه وسلم","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"إنَّ الرَّجُلَ ليُحرَمُ الرِّزقَ بالذَّنبِ يُصِيبُه، ولا يَرُدُّ القَدَرَ إلَّا الدُّعاءُ ، ولا يَزيدُ في العُمرِ إلَّا البِرُّ.","ثوبان","فيض القدير","[صحيح]"
"يُستجابُ لأحدِكم ما لم يعجَلْ، فيقولُ : دعوتُ ودعوتُ فلم أرَه يُستجابُ لي، فيستحسرُ عندَ ذلك ويدعُ الدعاءَ.","[أبو هريرة]","مجموع فتاوى ابن باز","صحيح"
"إن العبدَ ليحرمُ الرزقَ بالذنبِ يصيبُه ولا يردُّ القدرَ إلا الدعاءُ ولا يزيدُ في العمُرِ إلا البرُّ.","ثوبان مولى رسول الله صلى الله عليه وسلم","حاشية بلوغ المرام لابن باز","إسناده صحيح"
"أنَّ النَّبيَّ صلَّى اللهُ عليه وسلَّم سُئِلَ: أيُّ الدُّعاءِ أسمَعُ؟ قال: جَوفُ اللَّيلِ الآخِرُ، ودُبُرَ الصَّلَواتِ المَكتوباتِ.","أبو أمامة","مجموع الشروح الفقهية.","ذكر العلماء أنه منقطع، لكن له أصل في صحيح مسلم"
"إنَّ العَبدَ ليُحرَمُ الرِّزقَ بالذَّنبِ يُصيبُه، ولا يَرُدُّ القدَرَ إلَّا الدُّعاءُ ، ولا يَزيدُ في العُمُرِ إلَّا البِرُّ.","ثوبان","مجموع الشروح الفقهية.","إسناده صحيح"
"أتحبُّونَ أيُّها النَّاسُ أن تجتَهِدوا في الدُّعاءِ ؟ قولوا : اللَّهمَّ أعِنَّا علَى شُكرِكَ ، و ذكرِكَ ، و حُسنِ عبادتِكَ.","أبو هريرة","صحيح الجامع","صحيح"
"لا يزيدُ في العمُرِ إلَّا البرُّ ولا يردُّ القدَرَ إلَّا الدُّعاءُ وإنَّ الرَّجلَ لَيُحرَمُ الرِّزقَ بالذَّنبِ يصيبُهُ.","ثوبان مولى رسول الله صلى الله عليه وسلم","صحيح ابن ماجه","حسن دون قوله: ""وإن الرجل..."""
"كانَ رسولُ اللَّهِ - صلَّى اللَّهُ عليهِ وعلى آلِهِ وسلَّمَ - يستحِبُّ الجوامعَ منَ الدُّعاءِ ، ويدعُ ما سوى ذلِكَ.","عائشة أم المؤمنين","الصحيح المسند","صحيح على شرط مسلم"
"الدُّعاءُ هوَ العبادةُ ثمَّ قال وَقَالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِي سَيَدْخُلُونَ جَهَنَّمَ دَاخِرِينَ.","النعمان بن بشير","سنن الترمذي","حسن صحيح"
"الدُّعاءُ هُو العبادةُ ثمَّ قرأَ وَقالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبادَتِي سَيَدْخُلُونَ جَهَنَّمَ داخِرِينَ.","النعمان بن بشير","سنن الترمذي","حسن صحيح"
"كان رسولُ اللهِ صلَّى اللهُ عليهِ وسلَّم، إذا رفع يَدَيْهِ في الدعاءِ ، لم يَحُطَّهُما حتى يَمْسَحَ بهما وجهَهُ.","عمر بن الخطاب","سنن الترمذي","صحيح غريب"
"هكَذا الإخلاصُ، يُشيرُ بإصبَعِهِ الَّتي تَلي الإبهامَ، وهذا الدُّعاءُ ، فرَفَعَ يدَيْهِ حَذْوَ مَنْكِبَيهِ، وهذا الابتهالُ، فرَفَعَ يَدَيْهِ مَدًّا.","عبدالله بن عباس","المستدرك على الصحيحين","صحيح الإسناد"
"الدُّعاءُ هو العبادةُ ثمَّ قرأ { وَقال رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبادَتِي سَيَدْخُلُونَ جَهَنَّمَ داخِرِينَ}.","النعمان بن بشير","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"الدُّعاءُ هوَ العِبادةُ . ثمَّ قرأَ : وَقَالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِي سَيَدْخُلُونَ جَهَنَّمَ دَاخِرِينَ.","النعمان بن بشير","صحيح الترغيب","صحيح"
"عن النَّبيِّ صلَّى اللهُ عليه وسلَّمَ، أنَّه كان يَدعو بهذا الدُّعاءِ : اللَّهمَّ إنِّي أسأَلُكَ الهُدى والتُّقىـ والعَفافَ والغِنى.","عبدالله بن مسعود","تخريج المسند لشعيب","إسناده صحيح على شرط مسلم"
"عَن عائِشةَ رَضيَ اللهُ عنها، قالت: نَزَلَت هذه الآيةُ {ولا تَجهَرْ بصَلاتِكَ ولا تُخافِتْ بِهَا} [الإسراء: 110] في الدُّعاءِ.","عروة بن الزبير","صحيح البخاري","[صحيح]"
"الدُّعاءُ هو العبادةُ ) ثمَّ قرَأ الآيةَ {ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِي سَيَدْخُلُونَ جَهَنَّمَ دَاخِرِينَ} [غافر: 60].","النعمان بن بشير","صحيح ابن حبان","أخرجه في صحيحه"
"أنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ كان إذا مَدَّ يدَيْهِ في الدُّعاءِ لمْ يَرُدَّهما حتَّى يَمسَحَ بهما وَجهَه.","عمر","المستدرك على الصحيحين","[سكت عنه وقال في المقدمة رواته ثقات احتج بمثله الشيخان أو أحدهما]"
"الدُّعاءُ بينَ الأذانِ والإقامةِ لا يُردُّ قالوا : فماذا نَقولُ يا رسولَ اللَّهِ ؟ قالَ : سَلوا اللَّهَ العافيةَ في الدُّنيا والآخرةِ.","أنس بن مالك","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"الدُّعاءُ لا يردُّ بينَ الأذانِ والإقامةِ "" قالوا: فما نقولُ يا رسولَ اللَّهِ؟ قال: سلوا اللَّهَ العافيةَ في الدُّنيا والآخرةِ.","أنس بن مالك","زاد المعاد","صحيح"
"أفضلُ الدُّعاءِ دُعاءُ يومِ عرفةَ ، وإنَّ أفضلَ ما أقولُهُ أنا وما قال النبيونَ من قبليِ : لا إلهَ إلاَّ اللهُ.","المطلب بن عبدالله بن حنطب","السلسلة الصحيحة","مرسل حسن الإسناد"
"عن عمرَ بنِ الخطابِ قال : أنَّ الدعاءَ مَوْقُوفٌ بين السَّماءِ والأرضِ ، لا يَصْعَدُ مِنْهُ شيءٌ حتى تُصَلِّيَ على نبيِّكَ.","سعيد بن المسيب","صحيح الترغيب","صحيح لغيره"
"أنَّ عُمَرَ بنَ الخطابِ قال: إنَّ الدُّعاءَ مَوْقوفٌ بين السماءِ والأرضِ، لا يصعَدُ منه شيءٌ حتى تُصلِّيَ على نبِيِّكَ.","سعيد بن المسيب","تخريج شرح السنة","فيه أبو قرة الأسدي، قال الحافظ في تهذيب التهذيب: أخرج ابن خزيمة حديثه في صحيحه، وقال: لا أعرفه بعدالة ولا جرح."
"كُنَّا إذا جَلَسنا مع النَّبيِّ صلَّى اللهُ عليه وسلَّم في الصَّلاةِ... بمِثلِ حَديثِ مَنصورٍ، وقال: ثُمَّ يَتَخَيَّرُ بَعدُ مِنَ الدُّعاءِ.","عبدالله بن مسعود","صحيح مسلم","[صحيح]"
"حديثُ: الدُّعاءُ لا يُرَدُّ بَيْنَ الأذانِ والإقامةِ، قالوا: فما نقولُ يا رَسولَ اللهِ؟ قال: سَلُوا اللهَ العافيةَ في الدُّنيا والآخِرةِ.","[أنس بن مالك]","التعليقات البازية على زاد المعاد","الصحيح أنَّ الحديث ثابت إلى هنا، وإنما الكلام في زياداته"
"في قولِهِ : وَقَالَ رَبُّكُمُ ادْعُونِي أسْتَجِبْ لَكُمْ قالَ الدُّعاءُ هوَ العِبادةُ وقرأ وَقَالَ رَبُّكُمُ ادْعُونِي أسْتَجِبْ لَكُمْ - إلى قولِهِ - دَاخِرِينَ.","النعمان بن بشير","صحيح الترمذي","صحيح"
"لا يُغني حَذرٌ مِن قَدَرٍ، والدُّعاءُ يَنفعُ ممَّا نَزَلَ، وممَّا لمْ يَنزِلْ، وإنَّ البلاءَ ليَنزِلُ فيَتلقَّاهُ الدُّعاءُ فيَعتلِجانِ إلى يومِ القيامةِ.","عائشة أم المؤمنين","المستدرك على الصحيحين","صحيح الإسناد"
